"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get file","LMS service","Mon Oct 06 11:02:33 GMT 2025","passed","Mon Oct 06 11:02:33 GMT 2025","Get entity","Files","",""
"","552","Login with correct email and password","LMS service","Mon Oct 06 11:02:26 GMT 2025","passed","Mon Oct 06 11:02:27 GMT 2025","Login","Authentication","",""
"","37","Create file","LMS service","Mon Oct 06 11:02:32 GMT 2025","passed","Mon Oct 06 11:02:32 GMT 2025","Create entity","Files","",""
"","21","Delete exercise","LMS service","Mon Oct 06 11:02:31 GMT 2025","passed","Mon Oct 06 11:02:31 GMT 2025","Delete entity","Exercises","",""
"","33","Get courses","LMS service","Mon Oct 06 11:02:27 GMT 2025","passed","Mon Oct 06 11:02:27 GMT 2025","Get entities","Courses","",""
"","544","Create user","LMS service","Mon Oct 06 11:02:34 GMT 2025","passed","Mon Oct 06 11:02:35 GMT 2025","Create entity","Users","",""
"","27","Create exercise","LMS service","Mon Oct 06 11:02:29 GMT 2025","passed","Mon Oct 06 11:02:29 GMT 2025","Create entity","Exercises","",""
"","29","Create course","LMS service","Mon Oct 06 11:02:28 GMT 2025","passed","Mon Oct 06 11:02:28 GMT 2025","Create entity","Courses","",""
"","260","Get file with incorrect id","LMS service","Mon Oct 06 11:02:35 GMT 2025","passed","Mon Oct 06 11:02:35 GMT 2025","Validate entity","Files","",""
"","50","Get exercise","LMS service","Mon Oct 06 11:02:31 GMT 2025","passed","Mon Oct 06 11:02:31 GMT 2025","Get entity","Exercises","",""
"","35","Create file with empty directory","LMS service","Mon Oct 06 11:02:34 GMT 2025","passed","Mon Oct 06 11:02:34 GMT 2025","Validate entity","Files","",""
"","31","Update course","LMS service","Mon Oct 06 11:02:28 GMT 2025","passed","Mon Oct 06 11:02:28 GMT 2025","Update entity","Courses","",""
"","17","Get user me","LMS service","Mon Oct 06 11:02:36 GMT 2025","passed","Mon Oct 06 11:02:36 GMT 2025","Get entity","Users","",""
"","25","Get exercises","LMS service","Mon Oct 06 11:02:32 GMT 2025","passed","Mon Oct 06 11:02:32 GMT 2025","Get entities","Exercises","",""
"","525","Create user","LMS service","Mon Oct 06 11:02:35 GMT 2025","passed","Mon Oct 06 11:02:35 GMT 2025","Create entity","Users","",""
"","564","Create user","LMS service","Mon Oct 06 11:02:35 GMT 2025","passed","Mon Oct 06 11:02:36 GMT 2025","Create entity","Users","",""
"","24","Update exercise","LMS service","Mon Oct 06 11:02:29 GMT 2025","passed","Mon Oct 06 11:02:29 GMT 2025","Update entity","Exercises","",""
"","24","Delete file","LMS service","Mon Oct 06 11:02:34 GMT 2025","passed","Mon Oct 06 11:02:34 GMT 2025","Delete entity","Files","",""
"","28","Create file with empty filename","LMS service","Mon Oct 06 11:02:33 GMT 2025","passed","Mon Oct 06 11:02:33 GMT 2025","Validate entity","Files","",""
